artists,title,link
Lofi Records,1 A.M Chill Session,https://lofigirl.com/wp-content/uploads/2023/05/synthwave-compilation.zip
Lofi Records,1 Am. Study Session,https://lofigirl.com/wp-content/uploads/2022/10/1-A.M-Study-Session.zip
Lofi Records,12 Am. Study Session,https://lofigirl.com/wp-content/uploads/2022/11/12AMStudySession.zip
Lofi Records,2 A.M Chill Session,https://lofigirl.com/wp-content/uploads/2023/09/2-am-chill-session.zip
Lofi Records,2 Am. Study Session,https://lofigirl.com/wp-content/uploads/2022/10/2-AM-Study-Session.zip
Lofi Records,3 Am. Study Session,https://lofigirl.com/wp-content/uploads/2022/11/3-am-study-session.zip
Lofi Records,4 Am. Study Session,https://lofigirl.com/wp-content/uploads/2022/11/4-A.M-Study-Session.zip
towerz  hi jude,A Bridge Between,https://lofigirl.com/wp-content/uploads/2022/11/A-bridge-Between.zip
Laffey,A Day At A Time,https://lofigirl.com/wp-content/uploads/2022/11/A-Day-at-a-time.zip
BluntOne  Baen Mow,A Day in the Life,https://lofigirl.com/wp-content/uploads/2022/11/Bluntone-x-Bean-Mow-A-Day-in-the-Life.zip
tender spring  blurred figures,A Friendly Warmth,https://lofigirl.com/wp-content/uploads/2022/10/A-Friendly-Warmth.zip
cxlt.  Nuver,A Moment Away,https://lofigirl.com/wp-content/uploads/2022/11/cxlt.-Nuver-A-Moment-Away.zip
Dinis,"a piece of my heart, for you",https://lofigirl.com/wp-content/uploads/2023/09/a-piece-of-my-heart-for-you.zip
Nadav Cohen,A place above heaven,https://lofigirl.com/wp-content/uploads/2022/11/MP3-aMess-A-place-above-heaven.zip
BVG,A Spirit’s Tale,https://lofigirl.com/wp-content/uploads/2022/11/MP3-BVG-A-Spirits-Tale.zip
kainbeats,A Walk Through the Sky,https://lofigirl.com/wp-content/uploads/2022/10/Kainbeats-A-Walk-Through-the-Sky-.zip
Krynoze,A World After,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Krynoze-A-World-After.zip
DaniSogen,A World of Illusion,https://lofigirl.com/wp-content/uploads/2022/10/MP3-DaniSogen-A-World-of-Illusion.zip
Purrple Cat,Adventure Island,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Purrple-Cat-Adventure-Island.zip
Dimension32,Aeolia,https://lofigirl.com/wp-content/uploads/2022/11/Dimension-32-Aeolia.zip
Akraa  Virtua,Aether,https://lofigirl.com/wp-content/uploads/2023/07/Aether.zip
mell-ø  Ambulo,Afloat Again,https://lofigirl.com/wp-content/uploads/2022/10/Afloat-Again.zip
cxlt.  amies,After All,https://lofigirl.com/wp-content/uploads/2022/11/amies-x-cxlt.-After-All.zip
Blue Wednesday,After Hours,https://lofigirl.com/wp-content/uploads/2022/11/After-Hours.zip
DLJ/Blumen,After Life,https://lofigirl.com/wp-content/uploads/2022/11/DLJ-After-Life.zip
Living Room,After Sunset,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Living-Room-After-Sunset-1.zip
Laffey,After The Rain,https://lofigirl.com/wp-content/uploads/2022/10/MP3-Laffey-After-The-Rain.zip
Living Room,After The Rainbow,https://lofigirl.com/wp-content/uploads/2022/10/Living-Room-After-The-Rainbow.zip
Lofi Records,Afternoon Jazz,https://lofigirl.com/wp-content/uploads/2022/11/Afternoon-Jazz.zip
Flovry  tender spring,Ages Ago,https://lofigirl.com/wp-content/uploads/2022/11/Ages-Ago.zip
Phlocalyst/Drxnk  Satyr,Aiode,https://lofigirl.com/wp-content/uploads/2022/11/Satyr-x-Phlocalyst-Aiode.zip
Hoogway  Softy,Alley Of Trees,https://lofigirl.com/wp-content/uploads/2022/11/MP3-HoogWay-x-Softy-Alley-of-Trees.zip
Mondo Loops  Charlee,Amidst the Seven Seas,https://lofigirl.com/wp-content/uploads/2022/10/Charlee-x-Mondo-Loops-Amidst-the-Seven-Seas.zip
kainbeats,Angelic,https://lofigirl.com/wp-content/uploads/2022/10/Angelic.zip
Softy  Dimension32,Another Life,https://lofigirl.com/wp-content/uploads/2022/11/softy-x-Dimension-32-Another-Life.zip
Loafy Building,Aquilla,https://lofigirl.com/wp-content/uploads/2023/07/Aquilla.zip
Dreamfield  Goson,Arcadia,https://lofigirl.com/wp-content/uploads/2023/05/goson-x-dreamfield.zip
Nadav Cohen,Are we okay?,https://lofigirl.com/wp-content/uploads/2022/11/aMess-Are-we-okay.zip
